"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72483023232","2001-01-01","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  41.8","24","  37.9","24","1021.4","17","999.9"," 0","  1.9","24","  1.4","24","  6.0","999.9","  59.0"," ","  30.9"," "," 0.00","I","999.9","100000"
"72483023232","2001-01-02","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  39.7","24","  38.1","24","1025.9","20","999.9"," 0","  1.2","24","  0.8","24","  5.1","999.9","  59.0"," ","  32.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-03","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  41.9","24","  37.9","24","1028.9","16","999.9"," 0","  1.9","24","  1.1","24","  5.1","999.9","  61.0"," ","  32.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-04","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.0","24","  36.6","24","1025.8","15","999.9"," 0","  3.7","24","  2.2","24","  8.0","999.9","  62.1"," ","  30.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-05","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  42.6","24","  35.7","24","1021.8","18","999.9"," 0","  4.5","24","  1.2","24","  5.1","999.9","  62.1"," ","  30.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-06","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.7","24","  38.3","24","1018.3","22","999.9"," 0","  4.1","24","  2.5","24","  6.0","999.9","  62.1"," ","  30.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-07","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  42.2","24","  37.7","24","1015.5","19","999.9"," 0","  2.1","24","  0.6","24","  4.1","999.9","  59.0"," ","  33.1"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-08","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  48.8","24","  45.5","24","1011.3","19","999.9"," 0","  2.8","24","  3.8","24","  8.0","999.9","  53.1"," ","  33.1"," "," 0.62","G","999.9","110010"
"72483023232","2001-01-09","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  45.4","24","  43.7","24","1015.3","16","999.9"," 0","  3.7","24","  5.5","24","  8.9","999.9","  53.1"," ","  35.1"," "," 0.47","G","999.9","110000"
"72483023232","2001-01-10","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  49.2","24","  44.2","24","1011.6","24","999.9"," 0","  6.5","24"," 11.6","24"," 22.9"," 35.9","  52.0"," ","  35.1"," "," 0.01","G","999.9","110000"
"72483023232","2001-01-11","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  48.4","24","  44.3","24","1004.8","24","999.9"," 0","  8.8","24"," 11.2","24"," 18.1"," 27.0","  52.0"," ","  45.0"," "," 0.97","G","999.9","110000"
"72483023232","2001-01-12","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  48.0","24","  41.2","24","1012.3","24","999.9"," 0","  9.5","24","  8.9","24"," 20.0"," 29.9","  55.9"," ","  42.1"," "," 0.12","G","999.9","010000"
"72483023232","2001-01-13","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.4","24","  41.1","24","1021.7","24","999.9"," 0","  9.8","24","  5.4","24","  8.9","999.9","  55.9"," ","  42.1"," "," 0.02","G","999.9","000000"
"72483023232","2001-01-14","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.1","24","  41.7","24","1025.6","19","999.9"," 0","  7.0","24","  5.8","24"," 13.0","999.9","  54.0","*","  39.2","*"," 0.00","G","999.9","100000"
"72483023232","2001-01-15","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  45.1","24","  31.4","24","1021.5","24","999.9"," 0","  9.9","24"," 10.9","24"," 20.0"," 26.0","  55.9"," ","  37.9"," "," 0.00","G","999.9","000000"
"72483023232","2001-01-16","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.8","24","  24.9","24","1021.2","24","999.9"," 0","  9.9","24"," 13.1","24"," 18.1"," 23.9","  55.9"," ","  35.1"," "," 0.00","G","999.9","000000"
"72483023232","2001-01-17","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  41.4","24","  24.8","24","1026.8","24","999.9"," 0","  9.9","24","  5.9","24"," 15.0","999.9","  52.0","*","  30.0","*"," 0.00","G","999.9","000000"
"72483023232","2001-01-18","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  39.3","24","  29.6","24","1027.4","24","999.9"," 0","  5.8","24","  2.1","24","  6.0","999.9","  52.0"," ","  28.9"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-19","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  46.5","24","  36.2","24","1026.0","24","999.9"," 0","  5.1","24","  3.4","24"," 10.1","999.9","  57.0"," ","  28.9"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-20","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  42.6","24","  32.9","24","1023.6","22","999.9"," 0","  3.6","24","  2.1","24","  5.1","999.9","  57.0"," ","  33.1"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-21","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.2","24","  36.1","24","1022.8","18","999.9"," 0","  3.3","24","  3.4","24","  7.0","999.9","  55.9"," ","  34.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-22","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.9","24","  39.3","24","1020.0","21","999.9"," 0","  6.2","24","  2.6","24","  7.0","999.9","  63.0"," ","  34.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-23","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.9","24","  41.1","24","1017.5","24","999.9"," 0","  5.1","24","  4.2","24","  8.9","999.9","  63.0"," ","  36.0"," "," 0.00","G","999.9","110000"
"72483023232","2001-01-24","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.9","24","  43.0","24","1016.5","23","999.9"," 0","  8.7","24","  4.3","24","  8.0","999.9","  55.0"," ","  42.1"," "," 0.45","G","999.9","110000"
"72483023232","2001-01-25","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.2","24","  39.9","24","1022.5","22","999.9"," 0","  9.1","24","  8.7","24"," 18.1"," 25.1","  54.0"," ","  39.0"," "," 0.00","G","999.9","110000"
"72483023232","2001-01-26","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.3","24","  40.9","24","1017.0","23","999.9"," 0","  7.9","24","  5.8","24"," 13.0","999.9","  53.1"," ","  39.0"," "," 0.91","G","999.9","110010"
"72483023232","2001-01-27","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.5","24","  36.2","24","1013.2","23","999.9"," 0","  9.9","24"," 11.7","24"," 18.1"," 22.9","  57.9"," ","  37.0"," "," 0.00","G","999.9","000000"
"72483023232","2001-01-28","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.5","24","  36.2","24","1017.5","24","999.9"," 0","  7.6","24","  6.0","24"," 14.0","999.9","  57.9"," ","  33.1"," "," 0.00","G","999.9","100000"
"72483023232","2001-01-29","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  46.2","24","  41.2","24","1023.4","19","999.9"," 0","  5.5","24","  4.2","23"," 11.1","999.9","  54.0"," ","  33.1"," "," 0.02","G","999.9","110000"
"72483023232","2001-01-30","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.5","24","  34.2","24","1026.8","24","999.9"," 0","  9.9","24","  8.3","24"," 13.0","999.9","  54.0"," ","  37.9"," "," 0.19","G","999.9","000000"
"72483023232","2001-01-31","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  41.1","24","  32.6","24","1025.9","23","999.9"," 0","  7.6","24","  2.9","24","  7.0","999.9","  57.9"," ","  30.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-01","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.6","24","  35.0","24","1027.0","24","999.9"," 0","  7.7","24","  2.1","24","  5.1","999.9","  57.9"," ","  30.0"," "," 0.00","G","999.9","000000"
"72483023232","2001-02-02","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.5","24","  39.7","24","1029.6","24","999.9"," 0","  5.4","24","  2.9","24","  7.0","999.9","  59.0"," ","  32.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-03","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.0","24","  40.7","24","1027.8","24","999.9"," 0","  9.3","24","  3.8","24"," 10.1","999.9","  66.0"," ","  36.0"," "," 0.00","G","999.9","000000"
"72483023232","2001-02-04","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  52.6","24","  44.8","24","1025.2","23","999.9"," 0","  5.8","24","  1.4","24","  8.0","999.9","  69.1"," ","  37.9"," "," 0.00","G","999.9","100010"
"72483023232","2001-02-05","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  51.5","24","  36.8","24","1021.1","19","999.9"," 0","  3.9","24","  1.7","24","  6.0","999.9","  69.1"," ","  39.9"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-06","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.4","24","  35.1","24","1013.3","23","999.9"," 0","  9.4","24","  5.1","24","  8.9","999.9","  66.0"," ","  39.0"," "," 0.00","G","999.9","010000"
"72483023232","2001-02-07","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  45.1","24","  26.2","24","1012.1","24","999.9"," 0","  9.9","24"," 14.0","24"," 26.0"," 33.0","  55.0"," ","  39.0"," "," 0.01","G","999.9","010000"
"72483023232","2001-02-08","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.8","24","  21.6","24","1015.8","24","999.9"," 0","  9.9","24","  9.0","24"," 15.9"," 23.9","  55.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72483023232","2001-02-09","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  46.4","24","  34.2","24","1015.1","24","999.9"," 0","  8.6","24","  9.1","24"," 15.9"," 22.0","  55.0"," ","  32.0"," "," 0.00","G","999.9","110000"
"72483023232","2001-02-10","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.6","24","  40.5","24","1011.3","20","999.9"," 0","  9.3","24","  8.6","24"," 11.1","999.9","  51.1"," ","  39.9"," "," 0.58","G","999.9","010000"
"72483023232","2001-02-11","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  45.5","24","  40.0","24","1010.2","18","999.9"," 0","  8.8","24","  9.9","24"," 14.0"," 20.0","  51.1"," ","  41.0"," "," 0.25","G","999.9","110000"
"72483023232","2001-02-12","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  43.3","24","  38.3","24","1012.2","22","999.9"," 0","  9.1","24","  5.0","24"," 11.1","999.9","  51.1"," ","  41.0"," "," 0.29","G","999.9","110000"
"72483023232","2001-02-13","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  44.5","24","  33.6","24","1007.0","24","999.9"," 0","  9.9","24"," 12.5","24"," 20.0"," 27.0","  61.0"," ","  36.0"," "," 0.18","G","999.9","000000"
"72483023232","2001-02-14","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.3","24","  38.6","24","1013.9","24","999.9"," 0","  9.1","24","  4.3","24"," 11.1","999.9","  61.0"," ","  36.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-15","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  45.2","24","  39.4","24","1020.3","22","999.9"," 0","  7.6","24","  2.5","24","  5.1","999.9","  57.9"," ","  35.1"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-16","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  49.5","24","  41.0","24","1021.0","24","999.9"," 0","  6.6","24","  3.8","24","  8.9","999.9","  60.1"," ","  35.1"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-17","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.2","24","  40.3","24","1018.7","24","999.9"," 0","  9.1","24","  3.5","24","  6.0","999.9","  60.1"," ","  39.9"," "," 0.00","G","999.9","110000"
"72483023232","2001-02-18","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  49.8","24","  47.7","24","1017.6","22","999.9"," 0","  3.8","24","  3.8","24","  8.0","999.9","  57.0"," ","  43.0"," "," 0.14","G","999.9","110000"
"72483023232","2001-02-19","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  51.8","24","  46.6","24","1013.2","20","999.9"," 0","  7.8","24","  7.7","24"," 15.0"," 21.0","  57.9"," ","  46.0"," "," 0.15","G","999.9","110010"
"72483023232","2001-02-20","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.7","24","  46.1","24","1017.7","24","999.9"," 0","  9.1","24","  9.4","24"," 15.0"," 22.0","  57.9"," ","  46.9"," "," 1.05","G","999.9","110010"
"72483023232","2001-02-21","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  51.4","24","  47.6","24","1022.3","22","999.9"," 0","  7.7","24","  7.2","24"," 13.0"," 21.0","  57.0"," ","  48.9"," "," 0.14","G","999.9","110000"
"72483023232","2001-02-22","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  49.8","24","  42.7","24","1017.3","23","999.9"," 0","  9.6","24","  7.8","24"," 14.0"," 19.0","  57.0"," ","  44.1"," "," 0.12","G","999.9","110000"
"72483023232","2001-02-23","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  47.2","24","  40.3","24","1012.3","20","999.9"," 0","  8.7","24","  6.4","24"," 10.1"," 16.9","  55.0"," ","  41.0"," "," 0.83","G","999.9","110000"
"72483023232","2001-02-24","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  46.2","24","  41.5","24","1009.8","21","999.9"," 0","  7.0","24"," 10.6","24"," 22.0"," 32.1","  55.0"," ","  41.0"," "," 0.10","G","999.9","110000"
"72483023232","2001-02-25","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  49.9","24","  43.5","24","1013.5","24","999.9"," 0","  9.8","24","  7.2","24"," 13.0"," 23.9","  61.0"," ","  43.0"," "," 0.46","G","999.9","010000"
"72483023232","2001-02-26","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.7","24","  42.8","24","1014.5","24","999.9"," 0","  9.9","24","  6.3","24"," 10.1","999.9","  61.0"," ","  42.1"," "," 0.00","G","999.9","000000"
"72483023232","2001-02-27","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  50.6","24","  40.2","24","1014.8","21","999.9"," 0","  8.0","24","  7.0","24"," 19.0"," 27.0","  66.9"," ","  37.9"," "," 0.00","G","999.9","100000"
"72483023232","2001-02-28","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  53.0","24","  27.2","24","1012.6","24","999.9"," 0","  9.9","24"," 11.7","24"," 20.0"," 23.9","  66.9"," ","  37.9"," "," 0.00","G","999.9","000000"
"72483023232","2001-03-01","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  46.7","24","  37.7","24","1017.5","24","999.9"," 0","  9.1","24","  2.5","24"," 10.1","999.9","  62.1"," ","  36.0"," "," 0.00","G","999.9","100000"
"72483023232","2001-03-02","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","  48.8","24","  44.4","24","1015.7","19","999.9"," 0","  7.0","24","  4.1","23","  8.9","999.9","  59.0"," ","  36.0"," "," 0.12","G","999.9","110000"
