"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"08215099999","2013-01-01","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  29.4"," 5","  29.4"," 5","9999.9"," 0","811.2"," 5","  0.2"," 5","  7.4"," 5","  9.9","999.9","  29.8"," ","  28.9","*"," 0.32","G","  2.8","110000"
"08215099999","2013-01-02","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  28.0"," 5","  28.0"," 5","9999.9"," 0","816.6"," 5","  0.3"," 5","  3.4"," 5","  6.0","999.9","  29.7"," ","  26.2","*"," 0.03","G","  2.8","100000"
"08215099999","2013-01-03","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  31.5"," 5","  24.6"," 5","9999.9"," 0","823.7"," 5"," 16.2"," 5","  4.0"," 5","  6.0","999.9","  35.4"," ","  26.1"," "," 0.00","G","  2.8","000000"
"08215099999","2013-01-04","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  44.3"," 5","  18.8"," 5","9999.9"," 0","826.9"," 5"," 16.8"," 5","  3.6"," 5","  7.0","999.9","  51.3"," ","  30.0"," "," 0.00","G","  2.8","000000"
"08215099999","2013-01-05","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  45.6"," 5","  24.1"," 5","9999.9"," 0","824.5"," 5"," 14.9"," 5","  6.4"," 5","  9.9","999.9","  51.1"," ","  41.4"," "," 0.00","G","  2.0","000000"
"08215099999","2013-01-06","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  52.7"," 5","   0.9"," 5","9999.9"," 0","821.2"," 5"," 14.9"," 5","  2.2"," 5","  4.1","999.9","  61.3"," ","  44.2"," "," 0.00","G","  1.6","000000"
"08215099999","2013-01-07","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  50.8"," 5","   5.1"," 5","9999.9"," 0","818.7"," 5"," 16.2"," 5","  5.0"," 5","  8.9","999.9","  59.5"," ","  43.3","*"," 0.00","G","999.9","000000"
"08215099999","2013-01-08","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  43.7"," 5","   4.5"," 5","9999.9"," 0","818.1"," 5"," 16.8"," 5"," 11.5"," 5"," 12.0","999.9","  51.6"," ","  38.7"," "," 0.00","G","999.9","000000"
"08215099999","2013-01-09","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  33.4"," 5","  33.3"," 5","9999.9"," 0","815.8"," 5","  1.3"," 5","  8.7"," 5","  9.9","999.9","  36.3"," ","  27.1"," "," 0.00","G","999.9","110000"
"08215099999","2013-01-10","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  33.8"," 5","  33.8"," 5","9999.9"," 0","815.9"," 5","  0.1"," 5","  8.6"," 5"," 11.1","999.9","  34.7"," ","  33.3","*"," 0.48","G","999.9","110000"
"08215099999","2013-01-11","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  32.7"," 5","  31.4"," 5","9999.9"," 0","813.9"," 5","  5.7"," 5","  6.6"," 5","  9.9","999.9","  36.5"," ","  30.7"," "," 0.00","G","999.9","100000"
"08215099999","2013-01-12","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  30.3"," 5","  30.3"," 5","9999.9"," 0","809.0"," 5","  0.6"," 5","  9.0"," 5"," 13.0","999.9","  34.3"," ","  29.1","*"," 0.07","G","  0.4","101000"
